Date,Open,High,Low,Close,Adj Close,Volume
12/12/1980,0.128348,0.128906,0.128348,0.128348,0.099874,469033600
12/15/1980,0.12221,0.12221,0.121652,0.121652,0.094663,175884800
12/16/1980,0.113281,0.113281,0.112723,0.112723,0.087715,105728000
12/17/1980,0.115513,0.116071,0.115513,0.115513,0.089886,86441600
12/18/1980,0.118862,0.11942,0.118862,0.118862,0.092492,73449600
12/19/1980,0.126116,0.126674,0.126116,0.126116,0.098137,48630400
12/22/1980,0.132254,0.132813,0.132254,0.132254,0.102913,37363200
12/23/1980,0.137835,0.138393,0.137835,0.137835,0.107256,46950400
12/24/1980,0.145089,0.145647,0.145089,0.145089,0.112901,48003200
12/26/1980,0.158482,0.15904,0.158482,0.158482,0.123323,55574400
12/29/1980,0.160714,0.161272,0.160714,0.160714,0.125059,93161600
12/30/1980,0.157366,0.157366,0.156808,0.156808,0.12202,68880000
12/31/1980,0.152902,0.152902,0.152344,0.152344,0.118546,35750400
1/2/1981,0.154018,0.155134,0.154018,0.154018,0.119849,21660800
1/5/1981,0.151228,0.151228,0.15067,0.15067,0.117244,35728000
1/6/1981,0.144531,0.144531,0.143973,0.143973,0.112032,45158400
1/7/1981,0.138393,0.138393,0.137835,0.137835,0.107256,55686400
1/8/1981,0.135603,0.135603,0.135045,0.135045,0.105085,39827200
1/9/1981,0.142299,0.142857,0.142299,0.142299,0.11073,21504000
1/12/1981,0.142299,0.142299,0.141183,0.141183,0.109861,23699200
1/13/1981,0.136719,0.136719,0.136161,0.136161,0.105953,23049600
1/14/1981,0.136719,0.137277,0.136719,0.136719,0.106388,14291200
1/15/1981,0.139509,0.140625,0.139509,0.139509,0.108559,14067200
1/16/1981,0.138951,0.138951,0.138393,0.138393,0.10769,13395200
1/19/1981,0.146763,0.147321,0.146763,0.146763,0.114203,41574400
1/20/1981,0.142857,0.142857,0.142299,0.142299,0.11073,30083200
1/21/1981,0.145089,0.146205,0.145089,0.145089,0.112901,15904000
1/22/1981,0.146763,0.147879,0.146763,0.146763,0.114203,35548800
1/23/1981,0.146763,0.147321,0.146205,0.146205,0.113769,11222400
1/26/1981,0.144531,0.144531,0.143973,0.143973,0.112032,24640000
1/27/1981,0.143973,0.143973,0.142857,0.142857,0.111164,23699200
1/28/1981,0.138951,0.138951,0.138393,0.138393,0.10769,28156800
1/29/1981,0.133929,0.133929,0.133371,0.133371,0.103782,43904000
1/30/1981,0.127232,0.127232,0.126116,0.126116,0.098137,46188800
2/2/1981,0.11942,0.11942,0.118862,0.118862,0.092492,23766400
2/3/1981,0.123326,0.123884,0.123326,0.123326,0.095966,19152000
2/4/1981,0.12779,0.128348,0.12779,0.12779,0.09944,27865600
2/5/1981,0.12779,0.128906,0.12779,0.12779,0.09944,7929600
2/6/1981,0.128348,0.128906,0.128348,0.128348,0.099874,13865600
2/9/1981,0.122768,0.122768,0.121652,0.121652,0.094663,16755200
2/10/1981,0.121652,0.12221,0.121652,0.121652,0.094663,18345600
2/11/1981,0.118304,0.118304,0.117746,0.117746,0.091624,13843200
2/12/1981,0.117188,0.117188,0.116629,0.116629,0.090755,14560000
2/13/1981,0.114955,0.114955,0.113839,0.113839,0.088584,11155200
2/17/1981,0.116629,0.117188,0.116629,0.116629,0.090755,12275200
2/18/1981,0.121652,0.122768,0.121652,0.121652,0.094663,19241600
2/19/1981,0.114955,0.114955,0.114397,0.114397,0.089018,22310400
2/20/1981,0.108817,0.108817,0.108259,0.108259,0.084242,24371200
2/23/1981,0.109933,0.110491,0.109933,0.109933,0.085544,14112000
2/24/1981,0.107143,0.107143,0.106027,0.106027,0.082505,16979200
2/25/1981,0.112723,0.113281,0.112723,0.112723,0.087715,19488000
2/26/1981,0.114397,0.114955,0.114397,0.114397,0.089018,10841600
2/27/1981,0.118304,0.11942,0.118304,0.118304,0.092058,14761600
3/2/1981,0.118862,0.11942,0.118862,0.118862,0.092492,11760000
3/3/1981,0.117746,0.117746,0.117188,0.117188,0.09119,16172800
3/4/1981,0.116629,0.116629,0.116071,0.116071,0.09032,13708800
3/5/1981,0.116071,0.116071,0.115513,0.115513,0.089886,5376000
3/6/1981,0.115513,0.115513,0.114397,0.114397,0.089018,11603200
3/9/1981,0.106027,0.106027,0.105469,0.105469,0.082071,15321600
3/10/1981,0.101004,0.101004,0.100446,0.100446,0.078162,28380800
3/11/1981,0.097656,0.097656,0.09654,0.09654,0.075122,29859200
3/12/1981,0.100446,0.101004,0.100446,0.100446,0.078162,59248000
3/13/1981,0.099888,0.099888,0.09933,0.09933,0.077293,231302400
3/16/1981,0.103237,0.104353,0.103237,0.103237,0.080334,37228800
3/17/1981,0.108259,0.109375,0.108259,0.108259,0.084242,43747200
3/18/1981,0.114955,0.116071,0.114955,0.114955,0.089452,36937600
